Semantics	Syntax	Semantic_classes_of_nouns	Pejorative	Chained	Associated_verbs	Left_context	Center	Punct	Right_context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Full_context
Extreme	Ins verb-governed	Human + animals		no	стоять	 если ехать от центра, стоят 	 болваны 	  	болванами.  	Анатолий Гладилин. Прогноз на завтра (1972) 	Анатолий Гладилин 	1935 	Прогноз на завтра 	1972 	художественная 	повесть 	 	Гладилин А. Т. Прогноз на завтра 	2001 	  А сухопарые дома на Новом Арбате ― вставные челюсти Москвы ― те, что находятся справа, если ехать от центра, стоят болваны болванами.  [Анатолий Гладилин. Прогноз на завтра (1972)] [омонимия не снята]
Instrument	Ins verb-governed	Abstract		no	вышибать	 последующую эскалацию войны во Вьетнаме.  	 Бредни 	  	бреднями вышибают.   Александр Грудинкин  	Александр Грудинкин. История современности: Гибель корабля «Аполлон 1» // «Знание ― сила», 2003 	Александр Грудинкин 	 	История современности: Гибель корабля «Аполлон 1» 	2003 	публицистика ,  нехудожественная 	статья 	наука и технологии, техника 	«Знание ― сила» 	2003 	 В свою очередь, предположим, что взрыв на стартовой площадке устроил отряд вьетконговских партизан, и именно это событие вызвало последующую эскалацию войны во Вьетнаме.  Бредни бреднями вышибают.   Александр Грудинкин  [Александр Грудинкин. История современности: Гибель корабля «Аполлон 1» // «Знание ― сила», 2003] [омонимия не снята]
Extreme	Ins verb-governed	Human + animals		yes	сидеть	  Сидели бы 	 гориллы 	- 	гориллами и дураки-дураками под 	А. В. Амфитеатров. Жар-цвет (1895) 	А. В. Амфитеатров 	1862 	Жар-цвет 	1895 	художественная 	роман 	 	А. В. Амфитеатров. Собрание сочинений в 10 томах. Т. 1 	2000 	 Сидели бы гориллы-гориллами и дураки-дураками под древом жизни да яблоки жевали бы…  [А. В. Амфитеатров. Жар-цвет (1895)] [омонимия не снята]
Abundance	Ins verb-governed	Concrete		no	слать	 маменькой ― шиш, а чужой даме!  ― 	 горы 	- 	горами шлют… просто неловко как-то 	А. В. Амфитеатров. Фармазоны (из сборника «Бабы и дамы») (1900) 	А. В. Амфитеатров 	1862 	Фармазоны (из сборника «Бабы и дамы») 	1900 	художественная 	рассказ 	 	А. В. Амфитеатров. Собрание сочинений в 10 томах. Т. 3 	2001 	 Папеньке с маменькой ― шиш, а чужой даме!  ― горы-горами шлют… просто неловко как-то!  Высказал это свое недоумение брату Титу, а он дал мне подзатыльник и говорит:  [А. В. Амфитеатров. Фармазоны (из сборника «Бабы и дамы») (1900)] [омонимия не снята]
Extreme	Ins verb-governed	Human + animals		no	выстоиться	 чахлые пальмы выстроились вдоль дорожек, 	 дураки 	  	дураками, на задворках молодого отеля 	Дина Рубина. Медная шкатулка (сборник) (2015) 	Дина Рубина 	1953 	Медная шкатулка (сборник) 	2015 	художественная 	рассказ, цикл 	 	Д. И. Рубина. Медная шкатулка (сборник) 	2015 	  И никакого моря в обозрении, лишь молодые чахлые пальмы выстроились вдоль дорожек, дураки дураками, на задворках молодого отеля…  [Дина Рубина. Медная шкатулка (сборник) (2015)] [омонимия не снята]
Extreme	Ins verb-governed	Human + animals		no	выстроиться	 чахлые пальмы выстроились вдоль дорожек, 	 дураки 	  	дураками, на задворках молодого отеля 	Дина Рубина. Окна (2011) 	Дина Рубина 	1953 	Окна 	2011 	художественная 	рассказ 	 	Дина Рубина. Окна 	2012 	  И никакого моря в обозрении, лишь молодые чахлые пальмы выстроились вдоль дорожек, дураки дураками, на задворках молодого отеля…  [Дина Рубина. Окна (2011)] [омонимия не снята]
Extreme	Ins verb-governed	Human + animals		no	сбиться	 деле, сбились, как на ярмарке… 	 дураки 	  	дураками?  	Ф. В. Гладков. Повесть о детстве (1948) 	Ф. В. Гладков 	1883 	Повесть о детстве 	1948 	художественная 	повесть 	 	Гладков Ф. В. Повесть о детстве 	1980 	 Чего, в сам деле, сбились, как на ярмарке… дураки дураками?  [Ф. В. Гладков. Повесть о детстве (1948)] [омонимия не снята]
Extreme	Ins verb-governed	Human + animals		no	жить	 А мы-то тут живем 	 дураки 	  	дураками, ― со вздохом говорил писарь 	Д. Н. Мамин-Сибиряк. Хлеб (1895) 	Д. Н. Мамин-Сибиряк 	1852 	Хлеб 	1895 	художественная 	роман 	 	Д. Н. Мамин-Сибиряк. Собр.соч.в 8 томах 	1955 	  ― А мы-то тут живем дураки дураками, ― со вздохом говорил писарь.  [Д. Н. Мамин-Сибиряк. Хлеб (1895)] [омонимия не снята]
Extreme	Ins verb-governed	Human + animals		no	отваливать	 не дуры врачам платить, зато 	 дуры 	  	дурами отваливать за контракт, с 	Татьяна Соломатина. Девять месяцев, или «Комедия женских положений» (2010) 	Татьяна Соломатина 	1971 	Девять месяцев, или «Комедия женских положений» 	2010 	художественная 	повесть 	 	Татьяна Соломатина. Девять месяцев, или «Комедия женских положений» 	2010 	 Те, что помладше, ― тоже не дуры врачам платить, зато дуры дурами отваливать за контракт, с которого что ты, что родильный дом имеют слегка подсоленный бульон от яиц.  [Татьяна Соломатина. Девять месяцев, или «Комедия женских положений» (2010)] [омонимия не снята]
Extreme	Ins verb-governed	Human + animals		no	пойти	 обидой воспитались для борьбы, пошли, 	 идиоты 	  	идиотами, на арену, и с 	М. П. Арцыбашев. Санин (1902) 	М. П. Арцыбашев 	1878 	Санин 	1902 	художественная 	роман 	 	М. П. Арцыбашев. Собрание сочинений в 3 томах 	1994 	 Те огромные характеры, которые вековой обидой воспитались для борьбы, пошли, идиоты идиотами, на арену, и с мужеством, достойным бесконечно лучшего применения, чуть не собственными руками содрали с себя кожу!..  [М. П. Арцыбашев. Санин (1902)] [омонимия не снята]
