Semantics	Syntax	Semantic_classes_of_nouns	Pejorative	Chained	Associated_verbs	Left_context	Center	Punct	Right_context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Full_context
Abundance	Ins verb-governed	Concrete		no		   Рожь выгнало уже 	 камыш 	- 	камышом, сизые овсы кудряво колосились 	С. Н. Сергеев-Ценский. Печаль полей (1909) 	С. Н. Сергеев-Ценский 	1875 	Печаль полей 	1909 	художественная 	повесть 	 	Сергеев-Ценский С. Н. Собрание сочинений. В 12 томах. Т. 1 	1967 	  Рожь выгнало уже камыш-камышом, сизые овсы кудряво колосились, лен убрался в голубенькие платочки, и на гречиху начала летать пчела.  [С. Н. Сергеев-Ценский. Печаль полей (1909)] [омонимия не снята]
Abundance	Ins verb-governed	Concrete		no	уродиться	 которых уродилось в Потаенном колке 	 мост 	  	мостом, как выражался старый пчеляк 	С. Т. Аксаков. Детские годы Багрова-внука, служащие продолжением семейной хроники (1858) 	С. Т. Аксаков 	1791 	Детские годы Багрова-внука, служащие продолжением семейной хроники 	1858 	художественная 	роман 	 	С. Т. Аксаков. Семейная хроника. Детские годы Багрова-внука. Аленький цветочек 	1982 	 Слух о груздях, которых уродилось в Потаенном колке мост мостом, как выражался старый пчеляк, живший в лесу со своими пчелами, взволновал тетушку и моего отца, которые, очень любили брать грибы и особенно ломать грузди.  [С. Т. Аксаков. Детские годы Багрова-внука, служащие продолжением семейной хроники (1858)] [омонимия не снята]
Abundance	Ins verb-governed	Concrete		no	пойти	  Женится ― ребята пойдут 	 мост 	- 	мостом, как груздочки после дождя 	П. П. Бажов. Круговой Фонарь (1944) 	П. П. Бажов 	1878 	Круговой Фонарь 	1944 	художественная 	сказ 	 	Бажов П. Сочинения: В 3 т 	1986 	 Женится ― ребята пойдут мост-мостом, как груздочки после дождя, один другого ядреней, и жена не чахнет.  [П. П. Бажов. Круговой Фонарь (1944)] [омонимия не снята]
Abundance	Ins verb-governed	Concrete		no	выбраться	 праздник в большую деревню выберутся ― 	 орда 	  	ордой.  	Федор Абрамов. Деревянные кони (1969) 	Федор Абрамов 	1920 	Деревянные кони 	1969 	художественная 	рассказ 	 	Абрамов Ф. А. Деревянные кони: Повести и рассказы 	1978 	  Бывало, к нам в праздник в большую деревню выберутся ― орда ордой.  [Федор Абрамов. Деревянные кони (1969)] [омонимия не снята]
Abundance	Ins verb-governed	Concrete		no	стоять	 внучатными самому Гвоздилову.  Вот они 	 стена 	  	стеной и стоят.  Проштрафится, бывало 	М. Е. Салтыков-Щедрин. Завещание моим детям (1866) 	М. Е. Салтыков-Щедрин 	1826 	Завещание моим детям 	1866 	публицистика ,  нехудожественная 	очерк 	политика и общественная жизнь 	М. Е. Салтыков-Щедрин. Собрание сочинений в 20 т. Т. 7 	1969 	 Хлобыстовские родня Дракиным, Дракины в свойстве с Расплюевыми, а Расплюевы чуть ли не приходятся внучатными самому Гвоздилову.  Вот они стена стеной и стоят.  Проштрафится, бывало, Дракин ― сейчас к Расплюеву.  [М. Е. Салтыков-Щедрин. Завещание моим детям (1866)] [омонимия не снята]
Abundance	Ins verb-governed	Concrete		no	стоять	 потому что клопы стояли там 	 стена 	  	стеною, да и пушка продолжала 	М. Е. Салтыков-Щедрин. История одного города (1869-1870) 	М. Е. Салтыков-Щедрин 	1826 	История одного города 	1869-1870 	художественная 	роман 	 	М. Е. Салтыков-Щедрин. История одного города и др 	1989 	 Действительно, вылазки клопов прекратились, но подступиться к избе все-таки было невозможно, потому что клопы стояли там стена стеною, да и пушка продолжала действовать смертоносно.  [М. Е. Салтыков-Щедрин. История одного города (1869-1870)] [омонимия не снята]
Abundance	Ins verb-governed	Concrete		no	стоять	  Стоит перед ними лесище 	 стена 	  	стеной, стоит, да только вершинами 	М. Е. Салтыков-Щедрин. Господа Головлевы (1875-1880) 	М. Е. Салтыков-Щедрин 	1826 	Господа Головлевы 	1875-1880 	художественная 	роман 	 	М. Е. Салтыков-Щедрин. Господа Головлевы 	1988 	 Стоит перед ними лесище стена стеной, стоит, да только вершинами в вышине гуляет.  [М. Е. Салтыков-Щедрин. Господа Головлевы (1875-1880)] [омонимия не снята]
Abundance	Ins verb-governed	Concrete		no	стоять	 Зато рожь радовала ― стоит, матушка, 	 стена 	- 	стеной и в полном цвету 	А. Н. Энгельгардт. Письма из деревни (1872-1887 гг.). Письмо девятое (1880) 	А. Н. Энгельгардт 	1828 	Письма из деревни (1872-1887 гг.). Письмо девятое 	1880 	публицистика ,  нехудожественная 	статья 	сельское хозяйство 	А. Н. Энгельгардт. Из деревни. 12 писем. 1872-1887 	1956 	 Зато рожь радовала ― стоит, матушка, стена-стеной и в полном цвету.  [А. Н. Энгельгардт. Письма из деревни (1872-1887 гг.). Письмо девятое (1880)] [омонимия не снята]
Abundance	Ins verb-governed	Concrete		no	стоять	 Около конторы народ по-прежнему стоял 	 стена 	  	стеной, и по-прежнему это был 	Д. Н. Мамин-Сибиряк. Бойцы (1883) 	Д. Н. Мамин-Сибиряк 	1852 	Бойцы 	1883 	художественная 	очерк, цикл 	 	Д. Н. Мамин-Сибиряк. Повести Рассказы, Очерки 	1983 	  Около конторы народ по-прежнему стоял стена стеной, и по-прежнему это был крестьянский люд.  [Д. Н. Мамин-Сибиряк. Бойцы (1883)] [омонимия не снята]
Abundance	Ins verb-governed	Concrete		no	запрудить	 наказания столько собралось народа, что 	 стена 	  	стеной запрудили площадь.  	А. А. Черкасов. Разбойник (1883-1887) 	А. А. Черкасов 	1834 	Разбойник 	1883-1887 	художественная 	рассказ 	 	Черкасов Александр. Из записок сибирского охотника. Иркутск: Восточно-Сибирское книжное издательство, 1987 	1987 	 А по округе дана была публика, чтоб ехали смотреть, и в самый день наказания столько собралось народа, что стена стеной запрудили площадь.  [А. А. Черкасов. Разбойник (1883-1887)] [омонимия не снята]
Abundance	Ins verb-governed	Concrete		no	стоять	  Что народушку!  Стоят — 	 стена 	- 	стеной — плачут!  Я ушел — невозможно 	Вас. И. Немирович-Данченко. Цари биржи (Каиново племя в наши дни) (1886) 	Вас. И. Немирович-Данченко 	1845 	Цари биржи (Каиново племя в наши дни) 	1886 	художественная 	роман 	 	В. И. Немирович-Данченко. Цари биржи 	2013 	 Что народушку!  Стоят — стена-стеной — плачут!  Я ушел — невозможно.  [Вас. И. Немирович-Данченко. Цари биржи (Каиново племя в наши дни) (1886)] [омонимия не снята]
Abundance	Ins verb-governed	Substances		no	оборачиваться	 там у озера оборачиваются голубями, ― 	 туча 	  	тучей стадо голубей.  	А. М. Ремизов. Крестовые сестры (1910) 	А. М. Ремизов 	1877 	Крестовые сестры 	1910 	художественная 	повесть 	 	Ремизов А. М. Собрание сочинений. Т.4 	2002 	 А мимо их народ, много народа, как на Невском, спешат, перегоняют, бегут и бегут, хвосты долгие волокутся, и все с горы в озеро и там у озера оборачиваются голубями, ― туча тучей стадо голубей.  [А. М. Ремизов. Крестовые сестры (1910)] [омонимия не снята]
