Semantics,Syntax,Semantic_classes_of_nouns,Pejorative,Chained,Associated_verbs,Left_context,Center,Right_context,Full_context,Author,Created,Publ_year,Left_context_tags,Right_context_tags,Verb_tags,Left_context_tags_norm,Right_context_tags_norm
Extreme,Ins verb-governed,Human + animals,yes,no,стоять," если ехать от центра, стоят ", болваны ,болванами.  ,"  А сухопарые дома на Новом Арбате ― вставные челюсти Москвы ― те, что находятся справа, если ехать от центра, стоят болваны болванами.  ",Анатолий Гладилин ,1972 ,2001 ,"[OpencorporaTag('CONJ'), OpencorporaTag('INFN,impf,intr'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,masc sing,gent'), OpencorporaTag('VERB,impf,intr plur,3per,pres,indc')]","[OpencorporaTag('NOUN,inan,masc plur,ablt')]","[OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('CONJ'), OpencorporaTag('INFN,impf,intr'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,masc sing,nomn'), OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('NOUN,inan,masc sing,nomn')]"
Instrument,Ins verb-governed,Abstract,no,no,вышибать, последующую эскалацию войны во Вьетнаме.  , Бредни ,бреднями вышибают.   Александр Грудинкин  ," В свою очередь, предположим, что взрыв на стартовой площадке устроил отряд вьетконговских партизан, и именно это событие вызвало последующую эскалацию войны во Вьетнаме.  Бредни бреднями вышибают.   Александр Грудинкин  ",Александр Грудинкин ,2003 ,2003 ,"[OpencorporaTag('ADJF femn,sing,accs'), OpencorporaTag('NOUN,inan,femn sing,accs'), OpencorporaTag('NOUN,inan,femn sing,gent'), OpencorporaTag('PREP Vpre'), OpencorporaTag('NOUN,inan,masc,Geox sing,loct')]","[OpencorporaTag('NOUN,inan,GNdr,Pltm plur,ablt'), OpencorporaTag('VERB,impf,tran plur,3per,pres,indc'), OpencorporaTag('NOUN,anim,masc,Name sing,nomn'), OpencorporaTag('NOUN,anim,masc,Sgtm,Surn sing,nomn')]","[OpencorporaTag('INFN,impf,tran')]","[OpencorporaTag('ADJF masc,sing,nomn'), OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,masc,Geox sing,nomn')]","[OpencorporaTag('NOUN,inan,GNdr,Pltm plur,nomn'), OpencorporaTag('INFN,impf,tran'), OpencorporaTag('NOUN,anim,masc,Name sing,nomn'), OpencorporaTag('NOUN,anim,masc,Sgtm,Surn sing,nomn')]"
Extreme,Ins verb-governed,Human + animals,yes,yes,сидеть,  Сидели бы , гориллы ,гориллами и дураки-дураками под , Сидели бы гориллы-гориллами и дураки-дураками под древом жизни да яблоки жевали бы…  ,А. В. Амфитеатров ,1895 ,2000 ,"[OpencorporaTag('VERB,impf,intr plur,past,indc'), OpencorporaTag('PRCL')]","[OpencorporaTag('NOUN,anim,femn plur,ablt'), OpencorporaTag('CONJ'), OpencorporaTag('NOUN,anim,masc plur,nomn'), OpencorporaTag('NOUN,anim,masc plur,ablt'), OpencorporaTag('PREP')]","[OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('INFN,impf,intr'), OpencorporaTag('PRCL')]","[OpencorporaTag('NOUN,anim,femn sing,nomn'), OpencorporaTag('CONJ'), OpencorporaTag('NOUN,anim,masc sing,nomn'), OpencorporaTag('NOUN,anim,masc sing,nomn'), OpencorporaTag('PREP')]"
Abundance,Ins verb-governed,Concrete,no,no,слать," маменькой ― шиш, а чужой даме!  ― ", горы ,горами шлют… просто неловко как-то ," Папеньке с маменькой ― шиш, а чужой даме!  ― горы-горами шлют… просто неловко как-то!  Высказал это свое недоумение брату Титу, а он дал мне подзатыльник и говорит:  ",А. В. Амфитеатров ,1900 ,2001 ,"[OpencorporaTag('NOUN,anim,femn sing,ablt'), OpencorporaTag('NOUN,inan,masc,Geox sing,nomn'), OpencorporaTag('CONJ'), OpencorporaTag('ADJF,Subx masc,sing,nomn'), OpencorporaTag('NOUN,anim,femn sing,datv')]","[OpencorporaTag('NOUN,inan,femn plur,ablt'), OpencorporaTag('VERB,impf,tran plur,3per,pres,indc'), OpencorporaTag('PRCL'), OpencorporaTag('ADVB,Prdx'), OpencorporaTag('CONJ'), OpencorporaTag('CONJ')]","[OpencorporaTag('INFN,impf,tran')]","[OpencorporaTag('NOUN,anim,femn sing,nomn'), OpencorporaTag('NOUN,inan,masc,Geox sing,nomn'), OpencorporaTag('CONJ'), OpencorporaTag('ADJF,Subx masc,sing,nomn'), OpencorporaTag('NOUN,anim,femn sing,nomn')]","[OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('INFN,impf,tran'), OpencorporaTag('PRCL'), OpencorporaTag('ADVB,Prdx'), OpencorporaTag('CONJ'), OpencorporaTag('CONJ')]"
Extreme,Ins verb-governed,Human + animals,no,no,выстоиться," чахлые пальмы выстроились вдоль дорожек, ", дураки ,"дураками, на задворках молодого отеля ","  И никакого моря в обозрении, лишь молодые чахлые пальмы выстроились вдоль дорожек, дураки дураками, на задворках молодого отеля…  ",Дина Рубина ,2015 ,2015 ,"[OpencorporaTag('ADJF plur,nomn'), OpencorporaTag('NOUN,inan,femn,Sgtm,Geox sing,gent'), OpencorporaTag('VERB,perf,intr plur,past,indc'), OpencorporaTag('ADVB'), OpencorporaTag('NOUN,inan,femn plur,gent')]","[OpencorporaTag('NOUN,anim,masc plur,ablt'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,GNdr,Pltm plur,loct'), OpencorporaTag('ADJF,Qual neut,sing,gent'), OpencorporaTag('NOUN,inan,masc sing,gent')]","[OpencorporaTag('INFN,perf,intr')]","[OpencorporaTag('ADJF masc,sing,nomn'), OpencorporaTag('NOUN,inan,femn,Sgtm,Geox sing,nomn'), OpencorporaTag('INFN,perf,intr'), OpencorporaTag('ADVB'), OpencorporaTag('NOUN,inan,femn sing,nomn')]","[OpencorporaTag('NOUN,anim,masc sing,nomn'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,GNdr,Pltm plur,nomn'), OpencorporaTag('NOUN,anim,femn sing,gent'), OpencorporaTag('NOUN,inan,masc sing,accs')]"
Extreme,Ins verb-governed,Human + animals,no,no,выстроиться," чахлые пальмы выстроились вдоль дорожек, ", дураки ,"дураками, на задворках молодого отеля ","  И никакого моря в обозрении, лишь молодые чахлые пальмы выстроились вдоль дорожек, дураки дураками, на задворках молодого отеля…  ",Дина Рубина ,2011 ,2012 ,"[OpencorporaTag('ADJF plur,nomn'), OpencorporaTag('NOUN,inan,femn,Sgtm,Geox sing,gent'), OpencorporaTag('VERB,perf,intr plur,past,indc'), OpencorporaTag('ADVB'), OpencorporaTag('NOUN,inan,femn plur,gent')]","[OpencorporaTag('NOUN,anim,masc plur,ablt'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,GNdr,Pltm plur,loct'), OpencorporaTag('ADJF,Qual neut,sing,gent'), OpencorporaTag('NOUN,inan,masc sing,gent')]","[OpencorporaTag('INFN,perf,intr')]","[OpencorporaTag('ADJF masc,sing,nomn'), OpencorporaTag('NOUN,inan,femn,Sgtm,Geox sing,nomn'), OpencorporaTag('INFN,perf,intr'), OpencorporaTag('ADVB'), OpencorporaTag('NOUN,inan,femn sing,nomn')]","[OpencorporaTag('NOUN,anim,masc sing,nomn'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,GNdr,Pltm plur,nomn'), OpencorporaTag('NOUN,anim,femn sing,gent'), OpencorporaTag('NOUN,inan,masc sing,accs')]"
Extreme,Ins verb-governed,Human + animals,yes,no,сбиться," деле, сбились, как на ярмарке… ", дураки ,дураками?  ," Чего, в сам деле, сбились, как на ярмарке… дураки дураками?  ",Ф. В. Гладков ,1948 ,1980 ,"[OpencorporaTag('NOUN,inan,neut sing,loct'), OpencorporaTag('VERB,perf,intr plur,past,indc'), OpencorporaTag('CONJ'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,femn sing,loct')]","[OpencorporaTag('NOUN,anim,masc plur,ablt')]","[OpencorporaTag('INFN,perf,intr')]","[OpencorporaTag('NOUN,inan,neut sing,nomn'), OpencorporaTag('INFN,perf,intr'), OpencorporaTag('CONJ'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,femn sing,nomn')]","[OpencorporaTag('NOUN,anim,masc sing,nomn')]"
Extreme,Ins verb-governed,Human + animals,yes,no,жить, А мы-то тут живем , дураки ,"дураками, ― со вздохом говорил писарь ","  ― А мы-то тут живем дураки дураками, ― со вздохом говорил писарь.  ",Д. Н. Мамин-Сибиряк ,1895 ,1955 ,"[OpencorporaTag('CONJ'), OpencorporaTag('NPRO,1per plur,nomn'), OpencorporaTag('CONJ'), OpencorporaTag('ADVB,Dmns'), OpencorporaTag('VERB,impf,intr plur,1per,pres,indc')]","[OpencorporaTag('NOUN,anim,masc plur,ablt'), OpencorporaTag('PREP Vpre'), OpencorporaTag('NOUN,inan,masc sing,ablt'), OpencorporaTag('VERB,impf,tran masc,sing,past,indc'), OpencorporaTag('NOUN,anim,masc sing,nomn')]","[OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('CONJ'), OpencorporaTag('NPRO,1per plur,nomn'), OpencorporaTag('CONJ'), OpencorporaTag('ADVB,Dmns'), OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('NOUN,anim,masc sing,nomn'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,masc sing,nomn'), OpencorporaTag('INFN,impf,tran'), OpencorporaTag('NOUN,anim,masc sing,nomn')]"
Extreme,Ins verb-governed,Human + animals,yes,no,отваливать," не дуры врачам платить, зато ", дуры ,"дурами отваливать за контракт, с "," Те, что помладше, ― тоже не дуры врачам платить, зато дуры дурами отваливать за контракт, с которого что ты, что родильный дом имеют слегка подсоленный бульон от яиц.  ",Татьяна Соломатина ,2010 ,2010 ,"[OpencorporaTag('PRCL'), OpencorporaTag('NOUN,anim,femn sing,gent'), OpencorporaTag('NOUN,anim,masc plur,datv'), OpencorporaTag('INFN,impf,tran'), OpencorporaTag('CONJ')]","[OpencorporaTag('NOUN,anim,femn plur,ablt'), OpencorporaTag('INFN,impf,intr'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,masc sing,accs'), OpencorporaTag('PREP')]","[OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('PRCL'), OpencorporaTag('NOUN,anim,femn sing,nomn'), OpencorporaTag('NOUN,anim,masc sing,nomn'), OpencorporaTag('INFN,impf,tran'), OpencorporaTag('CONJ')]","[OpencorporaTag('NOUN,anim,femn sing,nomn'), OpencorporaTag('INFN,impf,intr'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,masc sing,accs'), OpencorporaTag('PREP')]"
Extreme,Ins verb-governed,Human + animals,yes,no,пойти," обидой воспитались для борьбы, пошли, ", идиоты ,"идиотами, на арену, и с "," Те огромные характеры, которые вековой обидой воспитались для борьбы, пошли, идиоты идиотами, на арену, и с мужеством, достойным бесконечно лучшего применения, чуть не собственными руками содрали с себя кожу!..  ",М. П. Арцыбашев ,1902 ,1994 ,"[OpencorporaTag('NOUN,inan,femn sing,ablt'), OpencorporaTag('VERB,perf,intr plur,past,indc'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,femn,Sgtm sing,gent'), OpencorporaTag('VERB,perf,tran sing,impr,excl')]","[OpencorporaTag('NOUN,anim,masc plur,ablt'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,femn sing,accs'), OpencorporaTag('CONJ'), OpencorporaTag('PREP')]","[OpencorporaTag('INFN,perf,intr')]","[OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('INFN,perf,intr'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,femn,Sgtm sing,nomn'), OpencorporaTag('INFN,perf,tran')]","[OpencorporaTag('NOUN,anim,masc sing,nomn'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,anim,masc,Name sing,gent'), OpencorporaTag('CONJ'), OpencorporaTag('PREP')]"
