Semantics,Syntax,Semantic_classes_of_nouns,Pejorative,Chained,Associated_verbs,Left_context,Center,Right_context,Full_context,Author,Created,Publ_year,Left_context_tags,Right_context_tags,Verb_tags,Left_context_tags_norm,Right_context_tags_norm
Abundance,Ins verb-governed,Concrete,no,no,,   Рожь выгнало уже , камыш ,"камышом, сизые овсы кудряво колосились ","  Рожь выгнало уже камыш-камышом, сизые овсы кудряво колосились, лен убрался в голубенькие платочки, и на гречиху начала летать пчела.  ",С. Н. Сергеев-Ценский ,1909 ,1967 ,"[OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('VERB,perf,tran neut,sing,past,indc'), OpencorporaTag('ADVB')]","[OpencorporaTag('NOUN,inan,masc sing,ablt'), OpencorporaTag('ADJF,Qual plur,nomn'), OpencorporaTag('NOUN,inan,masc plur,nomn'), OpencorporaTag('ADJS,Qual neut,sing'), OpencorporaTag('VERB,impf,intr plur,past,indc')]",[],"[OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('INFN,perf,tran'), OpencorporaTag('ADVB')]","[OpencorporaTag('NOUN,inan,masc sing,nomn'), OpencorporaTag('ADJF,Qual masc,sing,nomn'), OpencorporaTag('NOUN,inan,masc sing,nomn'), OpencorporaTag('ADJF,Qual masc,sing,nomn'), OpencorporaTag('INFN,impf,intr')]"
Abundance,Ins verb-governed,Concrete,no,no,уродиться, которых уродилось в Потаенном колке , мост ,"мостом, как выражался старый пчеляк "," Слух о груздях, которых уродилось в Потаенном колке мост мостом, как выражался старый пчеляк, живший в лесу со своими пчелами, взволновал тетушку и моего отца, которые, очень любили брать грибы и особенно ломать грузди.  ",С. Т. Аксаков ,1858 ,1982 ,"[OpencorporaTag('ADJF,Apro,Subx,Anph plur,gent'), OpencorporaTag('VERB,perf,intr neut,sing,past,indc'), OpencorporaTag('PREP'), OpencorporaTag('ADJF,Qual masc,sing,loct'), OpencorporaTag('NOUN,inan,femn sing,datv')]","[OpencorporaTag('NOUN,inan,masc sing,ablt'), OpencorporaTag('CONJ'), OpencorporaTag('VERB,impf,intr masc,sing,past,indc'), OpencorporaTag('ADJF,Qual masc,sing,nomn'), OpencorporaTag('NOUN,anim,masc sing,nomn')]","[OpencorporaTag('INFN,perf,intr')]","[OpencorporaTag('ADJF,Apro,Subx,Anph masc,sing,nomn'), OpencorporaTag('INFN,perf,intr'), OpencorporaTag('PREP'), OpencorporaTag('ADJF,Qual masc,sing,nomn'), OpencorporaTag('NOUN,inan,femn sing,nomn')]","[OpencorporaTag('NOUN,inan,masc sing,nomn'), OpencorporaTag('CONJ'), OpencorporaTag('INFN,impf,intr'), OpencorporaTag('ADJF,Qual masc,sing,nomn'), OpencorporaTag('NOUN,anim,masc sing,nomn')]"
Abundance,Ins verb-governed,Concrete,no,no,пойти,  Женится ― ребята пойдут , мост ,"мостом, как груздочки после дождя "," Женится ― ребята пойдут мост-мостом, как груздочки после дождя, один другого ядреней, и жена не чахнет.  ",П. П. Бажов ,1944 ,1986 ,"[OpencorporaTag('VERB,perf,intr sing,3per,futr,indc'), OpencorporaTag('NOUN,anim,GNdr,Pltm plur,nomn'), OpencorporaTag('VERB,perf,intr plur,3per,futr,indc')]","[OpencorporaTag('NOUN,inan,masc sing,ablt'), OpencorporaTag('CONJ'), OpencorporaTag('NOUN,anim,femn sing,gent'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,masc sing,gent')]","[OpencorporaTag('INFN,perf,intr')]","[OpencorporaTag('INFN,perf,intr'), OpencorporaTag('NOUN,anim,GNdr,Pltm plur,nomn'), OpencorporaTag('INFN,perf,intr')]","[OpencorporaTag('NOUN,inan,masc sing,nomn'), OpencorporaTag('CONJ'), OpencorporaTag('NOUN,anim,femn sing,nomn'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,masc sing,nomn')]"
Abundance,Ins verb-governed,Concrete,yes,no,выбраться, праздник в большую деревню выберутся ― , орда ,ордой.  ,"  Бывало, к нам в праздник в большую деревню выберутся ― орда ордой.  ",Федор Абрамов ,1969 ,1978 ,"[OpencorporaTag('NOUN,inan,masc sing,nomn'), OpencorporaTag('PREP'), OpencorporaTag('ADJF,Qual femn,sing,accs'), OpencorporaTag('NOUN,inan,femn sing,accs'), OpencorporaTag('VERB,perf,intr plur,3per,futr,indc')]","[OpencorporaTag('NOUN,inan,femn sing,ablt')]","[OpencorporaTag('INFN,perf,intr')]","[OpencorporaTag('NOUN,inan,masc sing,nomn'), OpencorporaTag('PREP'), OpencorporaTag('ADJF,Qual femn,sing,gent'), OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('INFN,perf,intr')]","[OpencorporaTag('NOUN,inan,femn sing,nomn')]"
Abundance,Ins verb-governed,Concrete,no,no,стоять, внучатными самому Гвоздилову.  Вот они , стена ,"стеной и стоят.  Проштрафится, бывало "," Хлобыстовские родня Дракиным, Дракины в свойстве с Расплюевыми, а Расплюевы чуть ли не приходятся внучатными самому Гвоздилову.  Вот они стена стеной и стоят.  Проштрафится, бывало, Дракин ― сейчас к Расплюеву.  ",М. Е. Салтыков-Щедрин ,1866 ,1969 ,"[OpencorporaTag('ADJF,Qual plur,ablt'), OpencorporaTag('ADJF,Apro masc,sing,datv'), OpencorporaTag('NOUN,anim,masc,Sgtm,Surn sing,datv'), OpencorporaTag('PRCL'), OpencorporaTag('NPRO,3per,Anph plur,nomn')]","[OpencorporaTag('NOUN,inan,femn sing,ablt'), OpencorporaTag('CONJ'), OpencorporaTag('VERB,impf,intr plur,3per,pres,indc'), OpencorporaTag('VERB,perf,intr sing,3per,futr,indc'), OpencorporaTag('VERB,impf,intr neut,sing,past,indc')]","[OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('ADJF,Qual masc,sing,nomn'), OpencorporaTag('ADJF,Apro masc,sing,nomn'), OpencorporaTag('ADJS,Qual masc,sing'), OpencorporaTag('PRCL'), OpencorporaTag('NPRO,3per,Anph plur,nomn')]","[OpencorporaTag('NOUN,inan,masc sing,gent'), OpencorporaTag('CONJ'), OpencorporaTag('INFN,impf,intr'), OpencorporaTag('INFN,perf,intr'), OpencorporaTag('INFN,impf,intr')]"
Abundance,Ins verb-governed,Concrete,no,no,стоять, потому что клопы стояли там , стена ,"стеною, да и пушка продолжала "," Действительно, вылазки клопов прекратились, но подступиться к избе все-таки было невозможно, потому что клопы стояли там стена стеною, да и пушка продолжала действовать смертоносно.  ",М. Е. Салтыков-Щедрин ,1869-1870 ,1989 ,"[OpencorporaTag('ADVB,Dmns'), OpencorporaTag('CONJ'), OpencorporaTag('NOUN,anim,masc plur,nomn'), OpencorporaTag('VERB,impf,intr plur,past,indc'), OpencorporaTag('ADVB,Dmns')]","[OpencorporaTag('NOUN,inan,femn sing,ablt,V-oy'), OpencorporaTag('PRCL'), OpencorporaTag('CONJ'), OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('VERB,impf,tran femn,sing,past,indc')]","[OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('ADVB,Dmns'), OpencorporaTag('CONJ'), OpencorporaTag('NOUN,anim,masc sing,nomn'), OpencorporaTag('INFN,impf,intr'), OpencorporaTag('ADVB,Dmns')]","[OpencorporaTag('NOUN,inan,masc sing,gent'), OpencorporaTag('PRCL'), OpencorporaTag('CONJ'), OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('INFN,impf,tran')]"
Abundance,Ins verb-governed,Concrete,no,no,стоять,  Стоит перед ними лесище , стена ,"стеной, стоит, да только вершинами "," Стоит перед ними лесище стена стеной, стоит, да только вершинами в вышине гуляет.  ",М. Е. Салтыков-Щедрин ,1875-1880 ,1988 ,"[OpencorporaTag('VERB,impf,intr,Impe sing,pres,indc'), OpencorporaTag('PREP'), OpencorporaTag('NPRO,3per,Anph plur,ablt,Af-p'), OpencorporaTag('NOUN,inan,masc sing,nomn')]","[OpencorporaTag('NOUN,inan,femn sing,ablt'), OpencorporaTag('VERB,impf,intr,Impe sing,pres,indc'), OpencorporaTag('PRCL'), OpencorporaTag('PRCL'), OpencorporaTag('NOUN,inan,femn plur,ablt')]","[OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('INFN,impf,intr,Impe'), OpencorporaTag('PREP'), OpencorporaTag('NPRO,3per,Anph plur,nomn'), OpencorporaTag('NOUN,inan,masc sing,nomn')]","[OpencorporaTag('NOUN,inan,masc sing,gent'), OpencorporaTag('INFN,impf,intr,Impe'), OpencorporaTag('PRCL'), OpencorporaTag('PRCL'), OpencorporaTag('NOUN,inan,femn sing,nomn')]"
Abundance,Ins verb-governed,Concrete,no,no,стоять," Зато рожь радовала ― стоит, матушка, ", стена ,стеной и в полном цвету ," Зато рожь радовала ― стоит, матушка, стена-стеной и в полном цвету.  ",А. Н. Энгельгардт ,1880 ,1956 ,"[OpencorporaTag('CONJ'), OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('VERB,impf,tran femn,sing,past,indc'), OpencorporaTag('VERB,impf,intr,Impe sing,pres,indc'), OpencorporaTag('NOUN,anim,femn sing,nomn')]","[OpencorporaTag('NOUN,inan,femn sing,ablt'), OpencorporaTag('CONJ'), OpencorporaTag('PREP'), OpencorporaTag('ADJF,Qual masc,sing,loct'), OpencorporaTag('NOUN,anim,femn,Name sing,accs')]","[OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('CONJ'), OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('INFN,impf,tran'), OpencorporaTag('INFN,impf,intr,Impe'), OpencorporaTag('NOUN,anim,femn sing,nomn')]","[OpencorporaTag('NOUN,inan,masc sing,gent'), OpencorporaTag('CONJ'), OpencorporaTag('PREP'), OpencorporaTag('ADJF,Qual masc,sing,nomn'), OpencorporaTag('NOUN,inan,masc sing,gent')]"
Abundance,Ins verb-governed,Concrete,yes,no,стоять, Около конторы народ по-прежнему стоял , стена ,"стеной, и по-прежнему это был ","  Около конторы народ по-прежнему стоял стена стеной, и по-прежнему это был крестьянский люд.  ",Д. Н. Мамин-Сибиряк ,1883 ,1983 ,"[OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,femn sing,gent'), OpencorporaTag('NOUN,inan,masc sing,nomn'), OpencorporaTag('PREP'), OpencorporaTag('ADJF masc,sing,datv'), OpencorporaTag('ADJS masc,sing')]","[OpencorporaTag('NOUN,inan,femn sing,ablt'), OpencorporaTag('CONJ'), OpencorporaTag('PREP'), OpencorporaTag('ADJF masc,sing,datv'), OpencorporaTag('PRCL'), OpencorporaTag('VERB,impf,intr masc,sing,past,indc')]","[OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('NOUN,inan,masc sing,nomn'), OpencorporaTag('PREP'), OpencorporaTag('ADJF masc,sing,nomn'), OpencorporaTag('ADJF masc,sing,nomn')]","[OpencorporaTag('NOUN,inan,masc sing,gent'), OpencorporaTag('CONJ'), OpencorporaTag('PREP'), OpencorporaTag('ADJF masc,sing,nomn'), OpencorporaTag('PRCL'), OpencorporaTag('INFN,impf,intr')]"
Abundance,Ins verb-governed,Concrete,no,no,запрудить," наказания столько собралось народа, что ", стена ,стеной запрудили площадь.  ," А по округе дана была публика, чтоб ехали смотреть, и в самый день наказания столько собралось народа, что стена стеной запрудили площадь.  ",А. А. Черкасов ,1883-1887 ,1987 ,"[OpencorporaTag('NOUN,inan,neut sing,gent'), OpencorporaTag('ADVB'), OpencorporaTag('VERB,perf,intr neut,sing,past,indc'), OpencorporaTag('NOUN,inan,masc sing,gent'), OpencorporaTag('CONJ')]","[OpencorporaTag('NOUN,inan,femn sing,ablt'), OpencorporaTag('VERB,perf,tran plur,past,indc'), OpencorporaTag('NOUN,inan,femn sing,nomn')]","[OpencorporaTag('INFN,perf,tran')]","[OpencorporaTag('NOUN,inan,neut sing,accs'), OpencorporaTag('ADVB'), OpencorporaTag('INFN,perf,intr'), OpencorporaTag('NOUN,inan,masc sing,nomn'), OpencorporaTag('CONJ')]","[OpencorporaTag('NOUN,inan,masc sing,gent'), OpencorporaTag('INFN,perf,tran'), OpencorporaTag('NOUN,inan,femn sing,nomn')]"
